DATAFLOW,LAST_UPDATE,freq,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Albania,2018,56.73,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Albania,2020,58.56,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Albania,2021,70.76,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Albania,2022,89.59,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Albania,2023,83.19,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2002,20.08,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2003,24.53,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2004,31.01,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2005,32.67,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2006,37.60,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2007,43.30,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2008,55.32,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2009,50.66,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2010,53.97,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2011,58.48,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2012,67.89,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2013,68.60,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2014,68.41,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2015,70.08,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2016,72.48,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2017,81.14,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2018,79.03,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2019,83.54,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2020,82.55,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2021,90.39,
ESTAT:ISOC_CI_IN_H(1.0),16/06/24 23:00:00,Annual,Percentage of households,Single person,Austria,2022,87.67,
